Language Code,Language Name,App Name (<=30 chars),Short Description (<=80 chars),Full Description (<4000 chars)
en-US,English (US),TuneZen - Instrument Tuner,"Precision pitch tuner & metronome for Guitar, Ukulele, Violin, Bass & Vocal.","TuneZen is the ultimate professional pitch tuner and practice suite for musicians.

Key Features:
• Ultra-precise YIN & FFT pitch detection algorithm
• Virtual Strobe Tuner & Needle Arc visualizers
• 24+ instrument presets: Guitar, Ukulele, Bass, Violin, Cello, Mandolin & Banjo
• Vocal pitch stability curve for vocalists and singers
• Visual Metronome with Tap Tempo engine (30-300 BPM)
• Interactive Chord Library with tone audio playback
• String Intonation & Health diagnostic tool
• 100% Offline & Private – no audio recordings or internet required."
es-ES,Spanish (Spain),TuneZen - Afinador de Guitarra,"Afinador de precisión y metrónomo para guitarra, ukelele, violín y bajo.","TuneZen es el afinador de instrumentos profesional definitivo.

Características principales:
• Algoritmo de detección de tono YIN y FFT ultrapreciso
• Afinado estroboscópico virtual y aguja analógica
• Más de 24 afinaciones: Guitarra, Ukelele, Bajo, Violín, Cello y Mandolina
• Curva de estabilidad vocal para cantantes
• Metrónomo visual con Tap Tempo (30-300 BPM)
• Biblioteca interactiva de acordes con sonido real
• Diagnóstico de entonación y estado de cuerdas
• 100% Sin conexión y privado."
fr-FR,French,TuneZen - Accordeur Guitare,"Accordeur de précision et métronome pour Guitare, Ukulélé, Violon et Basse.","TuneZen est l'accordeur d'instruments professionnel ultime.

Fonctionnalités principales:
• Algorithme YIN & FFT de haute précision
• Accordeur stroboscopique virtuel et aiguille
• Plus de 24 préréglages: Guitare, Ukulélé, Basse, Violon, Violoncelle
• Suivi de la stabilité de la voix pour les chanteurs
• Métronome visuel avec Tap Tempo (30-300 BPM)
• Dictionnaire d'accords interactif avec son
• Diagnostic d'intonation et santé des cordes
• 100% Hors ligne et privé."
de-DE,German,TuneZen - Gitarren Stimmgerät,"Präzises Stimmgerät & Metronom für Gitarre, Ukulele, Geige und Bass.","TuneZen ist das ultimative professionelle Stimmgerät für Musiker.

Hauptmerkmale:
• Hochpräziser YIN- & FFT-Tonhöhenerkennungsalgorithmus
• Virtueller Strobe-Tuner & Nadelanzeige
• Über 24 Stimmungen: Gitarre, Ukulele, Bass, Geige, Cello
• Gesangstonhöhen-Stabilitätskurve für Sänger
• Visuelles Metronom mit Tap Tempo (30-300 BPM)
• Interaktive Akkordbibliothek mit Audio-Wiedergabe
• Intonations- und Saitenzustandsdiagnose
• 100% Offline & Datenschutz garantiert."
it-IT,Italian,TuneZen - Accordatore Chitarra,"Accordatore di precisione e metronomo per Chitarra, Ukulele, Violino e Basso.","TuneZen è l'accordatore professionale definitivo per tutti i musicisti.

Caratteristiche principali:
• Algoritmo di rilevamento del tono YIN e FFT ad alta precisione
• Accordatore stroboscopico virtuale e lancetta
• Oltre 24 accordature: Chitarra, Ukulele, Basso, Violino, Violoncello
• Curva di stabilità vocale per cantanti
• Metronomo visivo con Tap Tempo (30-300 BPM)
• Libreria di accordi interattiva con audio
• Strumento di diagnosi dell'intonazione delle corde
• 100% Offline e riservato."
pt-BR,Portuguese (Brazil),TuneZen - Afinador de Violão,"Afinador de precisão e metrônomo para Violão, Ukulele, Violino e Baixo.","TuneZen é o afinador profissional definitivo para músicos.

Recursos Principais:
• Detecção de afinação YIN & FFT ultra-precisa
• Afinador estroboscópico virtual e ponteiro
• Mais de 24 afinações: Violão, Ukulele, Baixo, Violino, Cello
• Gráfico de estabilidade vocal para cantores
• Metrônomo visual com Tap Tempo (30-300 BPM)
• Biblioteca de acordes interativa com áudio
• Diagnóstico de entonação e saúde das cordas
• 100% Offline e Privado."
ru-RU,Russian,TuneZen - Тюнер для Гитары,"Точный гитарный тюнер и метроном для гитары, укулеле, скрипки и баса.","TuneZen — это профессиональный музыкальный тюнер высокой точности.

Основные функции:
• Высокоточный алгоритм определения нот YIN & FFT
• Виртуальный стробоскопический тюнер и стрелочный индикатор
• Более 24 настроек: Гитара, Укулеле, Бас-гитара, Скрипка, Виолончель
• График стабильности вокала для вокалистов
• Визуальный метроном с функцией Tap Tempo (30-300 BPM)
• Интерактивная библиотека аккордов с воспроизведением
• Диагностика интонации и состояния струн
• 100% Офлайн и безопасно."
ja-JP,Japanese,TuneZen - ギターチューナー,ギター、ウクレレ、バイオリン、ベース用の高精度チューナー＆メトロノーム。,"TuneZenはミュージシャンのためのプロフェッショナルな高精度チューナーアプリです。

主な機能：
• 高精度YIN & FFTピッチ検出アルゴリズム
• バーチャルストロボチューナー＆アナログメーター表示
• 24種類以上の楽器プリセット：ギター、ウクレレ、ベース、バイオリン、チェロ
• ボーカルピッチ安定度グラフ表示
• タップテンポ機能付きビジュアルメトロノーム（30〜300 BPM）
• 音声再生機能付きインタラクティブコードライブラリ
• オクターブ精度診断ツール
• 100% オフライン＆プライバシー保護。"
zh-CN,Simplified Chinese,TuneZen - 调音器与节拍器,高精度吉他、尤克里里、小提琴、贝斯调音器与节拍器。,"TuneZen 是一款专为音乐人打造的高精度专业调音器与练习套件。

主要功能：
• 超高精度 YIN & FFT 音高检测算法
• 虚拟频闪调音器 (Strobe Tuner) 与表盘指示器
• 24+ 种乐器调音预设：吉他、尤克里里、贝斯、小提琴、大提琴、曼陀林
• 歌手声乐音高稳定性曲线
• 支持 Tap Tempo 测速的视觉节拍器 (30-300 BPM)
• 带有单音试听功能的和弦图表库
• 弦乐八度音准诊断工具
• 100% 离线运行，保护隐私。"
ko-KR,Korean,TuneZen - 기타 튜너 & 메트로놈,"기타, 우쿨렐레, 바이올린, 베이스를 위한 고정밀 튜너 및 메트로놈.","TuneZen은 뮤지션을 위한 프리미엄 고정밀 음정 튜너 및 연습 툴입니다.

주요 기능:
• 초고정밀 YIN & FFT 음고 감지 알고리즘
• 가상 스트로보 튜너 & 아날로그 바늘 표시기
• 24가지 이상의 악기 프리셋: 기타, 우쿨렐레, 베이스, 바이올린, 체조
• 보컬리스트를 위한 보컬 음정 안정도 그래프
• 탭 템포 지원 비주얼 메트로놈 (30-300 BPM)
• 코드 음원 재생 지원 인터랙티브 코드 라이브러리
• 줄 인토네이션 및 옥타브 진단 도구
• 100% 오프라인 동작 및 개인정보 보호."
